site_id,handle,company,platform,status,system_ip,freepbx_version,asterisk_version,vm_id,call_center,device_count,features,acct_rep,monthly_cost
41,,,FreePBX,,205.251.183.55,14.0.13.23,14.7.8,,,0,,,
410,,,FreePBX,,216.109.194.127,16.0.40.7,18.20.2,,,0,,,
411,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
412,,,FreePBX,,216.109.194.128,16.0.40.7,18.20.2,,,0,,,
413,,,FreePBX,,216.109.194.129,16.0.40.7,18.20.2,,,0,,,
414,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
416,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
417,,,FreePBX,,216.109.194.130,16.0.40.7,18.20.2,,,0,,,
418,,,Unknown,,216.109.194.131,,,,,0,,,
419,,,FreePBX,,216.109.194.132,15.0.37.4,16.30.0,,,0,,,
42,,,FreePBX,,205.251.183.56,15.0.17,16.20.0,,,0,,,
420,,,FreePBX,,216.109.194.133,16.0.40.7,18.20.2,,,0,,,
421,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
422,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
423,,,FreePBX,,216.109.194.134,16.0.40.7,18.20.2,,,0,,,
424,,,FreePBX,,216.109.194.135,16.0.40.8,18.20.2,,,0,,,
425,,,FreePBX,,216.109.194.136,16.0.40.7,18.20.2,,,0,,,
426,,,FreePBX,,216.109.194.137,16.0.40.7,18.20.2,,,0,,,
427,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
428,,,FreePBX,,216.109.194.138,16.0.40.8,18.20.2,,,0,,,
429,,,FreePBX,,216.109.194.139,16.0.40.7,18.20.2,,,0,,,
43,,,FreePBX,,205.251.183.57,15.0.23.17,16.13.0,,,0,,,
430,,,FreePBX,,216.109.194.140,16.0.40.7,18.20.2,,,0,,,
431,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
432,,,FreePBX,,216.109.194.141,16.0.40.7,18.20.2,,,0,,,
433,,,Unknown,,216.109.194.141,,,,,0,,,
434,,,FreePBX,,216.109.194.142,16.0.40.8,18.20.2,,,0,,,
435,,,FreePBX,,216.109.194.143,16.0.40.10,18.20.2,,,0,,,
437,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
438,,,FreePBX,,216.109.194.145,16.0.40.8,18.20.2,,,0,,,
439,,,FreePBX,,216.109.194.146,16.0.40.8,18.20.2,,,0,,,
44,,,FreePBX,,205.251.183.47,15.0.17,16.20.0,,,0,,,
440,,,FreePBX,,216.109.194.147,16.0.40.8,18.20.2,,,0,,,
441,,,FreePBX,,216.109.194.148,16.0.40.8,18.20.2,,,0,,,
442,,,FreePBX,,216.109.194.149,16.0.40.8,18.20.2,,,0,,,
443,,,FreePBX,,216.109.194.150,16.0.40.8,18.20.2,,,0,,,
444,,,FreePBX,,216.109.194.151,16.0.40.10,18.20.2,,,0,,,
445,,,FreePBX,,216.109.194.152,16.0.40.11,18.20.2,,,0,,,
446,,,FreePBX,,216.109.194.153,16.0.40.8,18.20.2,,,0,,,
447,,,FreePBX,,216.109.194.154,16.0.40.8,18.20.2,,,0,,,
448,,,FreePBX,,216.109.194.155,16.0.40.8,18.20.2,,,0,,,
449,,,FreePBX,,216.109.194.156,16.0.40.8,18.20.2,,,0,,,
45,,,FreePBX,,205.251.183.20,15.0.17,16.19.0,,,0,,,
450,,,FreePBX,,216.109.194.157,16.0.40.8,18.20.2,,,0,,,
451,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
452,,,FreePBX,,216.109.194.158,16.0.40.11,18.20.2,,,0,,,
453,,,FreePBX,,216.109.194.159,16.0.40.8,18.20.2,,,0,,,
454,,,FreePBX,,216.109.194.160,16.0.40.10,18.20.2,,,0,,,
456,,,FreePBX,,216.109.194.162,16.0.40.8,18.20.2,,,0,,,
457,,,FreePBX,,216.109.194.163,16.0.40.13,18.20.2,,,0,,,
458,,,FreePBX,,216.109.194.164,16.0.40.11,18.20.2,,,0,,,
459,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
46,,,FreePBX,,205.251.183.48,15.0.16.42,16.6.2,,,0,,,
460,,,FreePBX,,216.109.194.165,16.0.40.11,18.20.2,,,0,,,
461,,,FreePBX,,216.109.194.166,16.0.40.10,18.20.2,,,0,,,
462,,,FreePBX,,216.109.194.167,16.0.40.10,18.20.2,,,0,,,
463,,,FreePBX,,216.109.194.168,16.0.40.11,18.20.2,,,0,,,
464,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
465,,,FreePBX,,216.109.194.169,16.0.40.11,18.20.2,,,0,,,
466,,,FreePBX,,216.109.194.170,16.0.40.11,18.20.2,,,0,,,
467,,,FreePBX,,216.109.194.171,16.0.40.11,18.20.2,,,0,,,
468,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
469,,,FreePBX,,216.109.194.172,16.0.40.11,18.20.2,,,0,,,
47,,,FreePBX,,205.251.183.45,15.0.17,16.17.0,,,0,,,
470,,,FreePBX,,216.109.194.173,16.0.40.10,18.20.2,,,0,,,
471,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
472,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
473,,,FreePBX,,216.109.194.174,16.0.40.10,18.20.2,,,0,,,
474,,,FreePBX,,216.109.194.175,16.0.40.11,18.20.2,,,0,,,
475,,,FreePBX,,216.109.194.176,16.0.40.11,18.20.2,,,0,,,
476,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
477,,,FreePBX,,216.109.194.177,16.0.40.11,18.20.2,,,0,,,
